PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
49,2025-09-21,12:22:49.61,4,1,"Magill, Carson",815452,Right,STJ_HAW,"Pierson, Michael",1000430195,Left,STJ_HAW,Undefined,2,Top,2,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.52055,-0.995001,-0.666666,2161.098189,196.147117,12:30,5.73723,0.7049,5.8598,-15.03194,21.94592,5.96957,3.56002,0.58298,78.88311,-3.916457,0.403971,0.437665,72.01626,49.951255,166.565119,4120.57283,,,,,44.67286,,,-3.2663,11.92209,-0.65435,50,5.64802,1.22639,-126.95044,-2.58718,-5.25438,29.44899,-12.99529,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,37baa730-9707-11f0-bee7-7ff1e5e786b6,86.12159,45.31203,,8.63745,,,,0.9365,3.65148,-0.56888,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:22:49.61,2025-09-21T12:22:49.6172032-04:00,2025-09-21T16:22:49.6172032Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,9ea7f4f2-3ca1-45fa-bce2-47c18700e1ac,54.63643,-128.02145,14.72449,5.73352,-2.11456,-6.49764,-0.70242,1.41748,-2.62719,351.799522,0.9365,-66.10258,2.92164,-0.55702,0.10184,-0.00821,-0.00322,-0.00031,0.00148,3.65148,80.85463,-33.57854,5.6201,-1.23233,0.21934,-0.00968,-0.0032,-0.00365,-0.56888,15.79039,-2.70333,-2.01741,0.82583,-0.28016,0.07084,-0.00554,-0.00463,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,205.657788,21.531838,2010.283292,0.930214,12:45,-0.3697,-0.409091,-0.834246,-25.665755,-16.592828,-36.767346,0.155142,163.110654,-0.945282,16.678835,0.945282,-0.287007,-0.155142,9.320406,8.925009,0.287007,0.287007,-163.110654,-8.925009,0.155142,-16.678835,-9.320406,-0.155142,-0.287007,0.945282,-0.945282
50,2025-09-21,12:23:06.37,4,2,"Magill, Carson",815452,Right,STJ_HAW,"Pierson, Michael",1000430195,Left,STJ_HAW,Undefined,2,Top,2,2,2,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.65071,-1.855175,-3.104605,2215.012573,137.679453,10:30,5.46621,1.2372,5.39493,-36.47148,10.33048,-7.88717,0.68518,-2.33241,71.52562,-8.544842,-4.504658,0.492383,,,,,,,,,,,,2.97051,6.28103,-0.95425,50,5.27523,6.48484,-113.78525,-4.86896,3.83865,23.66874,-24.05738,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,41b34bc0-9707-11f0-bee7-7ff1e5e786b6,76.55101,,,7.12509,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:23:06.37,2025-09-21T12:23:06.3722496-04:00,2025-09-21T16:23:06.3722496Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,b0e983e1-084d-47e7-9ae7-19282908520c,55.10097,-114.84141,11.83437,5.46855,-3.79545,-12.02869,-1.23979,6.31354,1.91932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,117.794622,78.65552,435.709257,0.196707,10:00,-0.989103,0.14218,-0.038213,17.50628,-30.636706,67.965783,-0.951975,132.593517,-0.207218,-13.026362,0.207218,-0.225399,0.951975,77.719868,-72.171019,0.225399,-0.225399,-132.593517,72.171019,0.951975,13.026362,-77.719868,-0.951975,0.225399,0.207218,-0.207218
51,2025-09-21,12:23:21.73,4,3,"Magill, Carson",815452,Right,STJ_HAW,"Pierson, Michael",1000430195,Left,STJ_HAW,Undefined,2,Top,2,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,76.06724,2.081847,-0.598061,2216.668522,78.440632,8:30,5.62115,0.96727,5.82303,-48.97003,-0.25035,-9.04209,3.47673,-0.34226,69.34774,-6.950122,-2.219003,0.50237,,,,,,,,,,,,4.41642,-0.23827,-0.91308,50,5.76271,1.48665,-110.39199,2.49529,5.41044,20.97852,-32.46597,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,4adabda0-9707-11f0-bee7-7ff1e5e786b6,75.02926,,,6.71951,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:23:21.73,2025-09-21T12:23:21.7360000-04:00,2025-09-21T16:23:21.7360000Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,5d008c11-f03c-4f19-89d9-fd7d234baa71,54.67533,-111.27692,10.48926,5.62857,3.8648,-16.23299,-0.97098,1.25842,2.70522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8246,,,1.140698,,,,-4.11435,6.23077,-2.06761,69.52835,11.16618,-55.25253,-4.06073,69.36004,-4.24596,6.28956,21.47284,-15.07099,-2.11026,-50.33351,3.2809,High,High,High,,,High,High,High,29.301085,61.714257,1050.410742,0.473869,7:00,-0.867229,0.263747,0.422317,-63.726451,-30.600534,-38.935043,0.508458,93.063753,-0.046023,59.30042,0.046023,-0.859856,-0.508458,84.828021,30.561173,0.859856,0.859856,-93.063753,-30.561173,0.508458,-59.30042,-84.828021,-0.508458,-0.859856,0.046023,-0.046023
52,2025-09-21,12:25:27.98,1,1,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Forgione, Max",10147659,Left,STJ_HAW,Undefined,2,Bottom,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.03847,-0.452129,3.153457,2344.639205,135.604383,10:30,5.52748,-1.07924,6.03899,-19.33572,15.33213,-13.82398,3.4969,0.69154,81.34026,-4.137586,0.670058,0.423774,,,,,,,,,,,,8.02122,8.36473,0.84015,50,5.48174,-6.59227,-130.51281,-1.60361,13.69159,30.13095,-17.89615,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,961db560-9707-11f0-bee7-7ff1e5e786b6,88.94458,,,8.69821,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:25:27.98,2025-09-21T12:25:27.9845376-04:00,2025-09-21T16:25:27.9845376Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,51a74c81-c9d5-4442-8d0f-2658f239dabd,54.45694,-131.53774,15.06547,5.52593,-0.99485,-8.94808,1.07231,-7.058,6.8458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,132.392972,-6.424234,2329.91647,0.993721,10:30,0.14279,0.734761,-0.663127,39.031571,32.161476,-60.886767,0.170122,172.340398,-0.976631,7.547293,0.976631,-0.131345,-0.170122,9.881341,9.794889,0.131345,0.131345,-172.340398,-9.794889,0.170122,-7.547293,-9.881341,-0.170122,-0.131345,0.976631,-0.976631
53,2025-09-21,12:25:42.12,1,2,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Forgione, Max",10147659,Left,STJ_HAW,Undefined,2,Bottom,0,0,1,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.90148,-2.682376,4.436241,2194.196472,109.490234,9:45,5.30894,-0.97161,6.23353,-38.93699,7.00481,-15.41304,-0.4196,1.84468,71.47369,-9.885317,1.655671,0.487838,,,,,,,,,,,,9.48977,4.80236,0.64819,50,5.08853,-8.24114,-112.81035,-6.39453,12.14432,21.84977,-26.02832,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,9e872e70-9707-11f0-bee7-7ff1e5e786b6,77.2643,,,6.42779,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:25:42.12,2025-09-21T12:25:42.1242880-04:00,2025-09-21T16:25:42.1242880Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,54b5554c-293a-4501-b385-41cfd3bf38bf,54.26806,-113.63401,10.92489,5.31109,-5.41336,-13.01416,0.96747,-8.69893,6.07216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,105.174753,27.937201,1938.488376,0.883462,9:30,-0.488484,0.829797,-0.269851,54.55598,-28.895674,-32.520155,-0.398864,106.021686,-0.253096,-61.810619,0.253096,-0.881391,0.398864,57.603156,-23.50717,0.881391,-0.881391,-106.021686,23.50717,0.398864,61.810619,-57.603156,-0.398864,0.881391,0.253096,-0.253096
54,2025-09-21,12:26:03.49,1,3,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Forgione, Max",10147659,Left,STJ_HAW,Undefined,2,Bottom,0,1,1,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.14208,2.15327,-0.336409,2007.077697,218.679514,1:15,5.24309,-1.34258,5.25496,-38.80207,9.17004,5.87024,4.03378,-1.16948,69.81135,-5.042205,0.704229,0.498501,,,,,,,,,,,,-3.00638,4.39839,1.36903,50,5.4127,0.41701,-113.00968,2.96921,-3.80128,24.87311,-26.61276,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,ab429c80-9707-11f0-bee7-7ff1e5e786b6,75.61161,,,8.33073,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:26:03.49,2025-09-21T12:26:03.4920448-04:00,2025-09-21T16:26:03.4920448Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,d393f8d4-638f-432d-bb94-b52e75ec4b17,55.2369,-114.15648,12.43655,5.24751,4.19623,-13.30638,1.34576,0.59227,-1.90064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,198.805184,-78.076942,414.658148,0.206598,12:45,0.974068,-0.103312,-0.201292,-102.73832,-19.920443,11.352824,0.559871,102.126069,-0.174054,54.104942,0.174054,-0.810092,-0.559871,72.730432,34.046888,0.810092,0.810092,-102.126069,-34.046888,0.559871,-54.104942,-72.730432,-0.559871,-0.810092,0.174054,-0.174054
55,2025-09-21,12:26:16.64,1,4,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Forgione, Max",10147659,Left,STJ_HAW,Undefined,2,Bottom,0,2,1,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.28081,-0.920177,3.209135,2387.074223,127.536912,10:15,5.36039,-1.10053,5.85637,-20.1221,14.78922,-17.57505,2.8272,0.41961,81.17599,-4.743812,0.061708,0.42526,74.25171,27.219942,-150.275344,4680.324033,-101.04601,24.56735,-43.47056,166.5615,52.73299,-159.045017,2.214047,9.96961,8.21323,0.84991,50,5.27404,-6.55481,-130.75562,-2.72857,16.98473,31.67109,-18.18157,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,b3113520-9707-11f0-bee7-7ff1e5e786b6,88.63387,26.6459,,9.10482,,,,0.2143,2.59508,-0.28919,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:26:16.64,2025-09-21T12:26:16.6441472-04:00,2025-09-21T16:26:16.6441472Z,FlyBall,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,088eff10-79ba-4b81-8eeb-701208e1caac,54.63987,-131.87468,15.83555,5.3591,-2.08615,-9.09078,1.09213,-7.15495,8.49237,,0.21431,-84.09989,7.11924,-0.16869,-0.2839,0.12245,-0.02721,0.00344,-2E-05,2.59507,49.813,-29.02879,3.84762,-0.68176,0.10487,-0.01881,0.0036,-0.00046,-0.28919,-48.01718,17.8955,-6.29275,1.76651,-0.40374,0.06873,-0.00478,-0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,125.804651,-2.333592,2385.09461,0.999171,10:15,0.060378,0.810893,-0.582071,56.674496,31.843911,-37.098758,0.23151,176.053782,-0.970526,3.838846,0.970526,-0.06695,-0.23151,13.416661,13.385997,0.06695,0.06695,-176.053782,-13.385997,0.23151,-3.838846,-13.416661,-0.23151,-0.06695,0.970526,-0.970526
56,2025-09-21,12:26:38.93,1,5,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Forgione, Max",10147659,Left,STJ_HAW,Undefined,2,Bottom,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.75309,0.048308,1.695423,1983.13064,313.50385,4:30,5.27634,-1.41255,4.91651,-65.68637,-14.02107,16.77001,-0.15183,1.58844,68.88594,-11.725871,4.661221,0.517334,,,,,,,,,,,,-7.86863,-6.75229,1.2319,50,5.2252,-3.89542,-109.7222,-2.20598,-9.33833,24.2048,-40.18756,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,c0782570-9707-11f0-bee7-7ff1e5e786b6,72.85903,,,6.86716,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:26:38.93,2025-09-21T12:26:38.9320192-04:00,2025-09-21T16:26:38.9320192Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,59cf0b0a-8197-46f4-87f3-2eb83d466910,55.58635,-110.94771,12.1024,5.28538,-0.17125,-20.09378,1.41716,-3.42261,-4.66917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,323.493519,-59.318379,1011.926281,0.510267,4:45,0.847249,-0.30429,0.435405,-60.567605,-71.963526,3.161457,0.397643,133.055785,-0.626414,42.10079,0.626414,-0.670437,-0.397643,32.407082,23.430914,0.670437,0.670437,-133.055785,-23.430914,0.397643,-42.10079,-32.407082,-0.397643,-0.670437,0.626414,-0.626414
57,2025-09-21,12:26:57.39,1,6,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Forgione, Max",10147659,Left,STJ_HAW,Undefined,2,Bottom,0,3,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,90.08507,-1.159515,2.724897,2332.686733,151.668115,11:00,5.38167,-1.00524,5.99119,-15.44961,19.34473,-9.75327,3.01826,0.70918,81.15707,-4.149481,0.973829,0.424547,,,,,,,,,,,,5.83768,10.63749,0.79549,50,5.28164,-5.78928,-130.54474,-3.05247,9.93651,30.98024,-14.06766,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,cb5efa90-9707-11f0-bee7-7ff1e5e786b6,88.78273,,,8.928,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:26:57.39,2025-09-21T12:26:57.3940000-04:00,2025-09-21T16:26:57.3940000Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,df8d246f-3845-4057-8e7c-6fb0455ac2da,54.50404,-131.60928,15.49012,5.37823,-2.56908,-7.03383,1.00029,-6.13071,4.96825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.94194,2.278137,1.001574,1.276562,-1.8067,2.77806,-0.76099,-2.72971,6.18076,-0.57562,69.08288,16.83413,-55.70069,-2.5921,60.5242,-3.39069,6.30471,26.93359,-14.59845,-0.65704,-45.87976,2.14028,High,High,High,,,High,High,High,129.168846,0.009271,2332.686702,1,10:15,0.014194,0.775126,-0.631647,39.149267,25.934467,-43.752063,0.061583,168.657117,-0.978607,11.321069,0.978607,-0.196307,-0.061583,3.60081,3.530657,0.196307,0.196307,-168.657117,-3.530657,0.061583,-11.321069,-3.60081,-0.061583,-0.196307,0.978607,-0.978607
58,2025-09-21,12:27:24.23,2,1,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Peterson, Ben",10070106,Right,STJ_HAW,Undefined,2,Bottom,2,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.55831,-1.552852,3.802703,2426.775927,137.540252,10:30,5.3984,-1.03727,5.99252,-17.83517,15.77934,-13.36095,2.46954,1.37855,82.83663,-4.952118,1.406914,0.417287,,,,,,,,,,,,7.99032,8.91237,0.7444,50,5.26596,-8.22971,-132.59792,-4.13535,14.0927,30.82986,-16.45509,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,db56a7e0-9707-11f0-bee7-7ff1e5e786b6,90.32742,,,8.72168,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:27:24.23,2025-09-21T12:27:24.2337792-04:00,2025-09-21T16:27:24.2337792Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,d423ca02-6920-4afd-8993-eae1e7ee0d3c,54.50429,-133.64109,15.41493,5.39647,-3.57857,-8.22755,1.03093,-8.70656,7.04635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,128.082355,0.382953,2426.721722,0.999978,10:15,0.012956,0.786637,-0.61728,62.172975,30.600564,-27.700524,-0.301265,179.402235,-0.953489,-0.569992,0.953489,-0.009948,0.301265,17.534486,-17.53359,0.009948,-0.009948,-179.402235,17.53359,0.301265,0.569992,-17.534486,-0.301265,0.009948,0.953489,-0.953489
59,2025-09-21,12:27:39.69,2,2,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Peterson, Ben",10070106,Right,STJ_HAW,Undefined,2,Bottom,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.54339,-1.596095,2.884743,2269.713132,120.901323,10:00,5.33207,-1.10945,6.22094,-31.21297,13.21922,-19.30225,1.25596,-0.05386,71.76907,-7.480319,-0.600907,0.479756,,,,,,,,,,,,11.08264,7.85185,0.90331,50,5.19706,-5.12545,-115.3014,-4.07444,14.62504,25.38306,-21.81244,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,e4aacf10-9707-11f0-bee7-7ff1e5e786b6,78.56589,,,7.77431,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:27:39.69,2025-09-21T12:27:39.6946432-04:00,2025-09-21T16:27:39.6946432Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,a15e355f-353b-4b1d-90ec-ce779ab90053,54.27787,-116.23934,12.69153,5.33273,-3.26844,-10.90622,1.10268,-5.66586,7.31252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,106.470241,25.235007,2053.107006,0.904567,9:30,-0.436851,0.855238,-0.278799,39.861756,-30.216488,-38.21129,-0.435632,96.740309,-0.105647,-63.367933,0.105647,-0.893904,0.435632,76.368111,-25.825514,0.893904,-0.893904,-96.740309,25.825514,0.435632,63.367933,-76.368111,-0.435632,0.893904,0.105647,-0.105647
60,2025-09-21,12:27:53.15,2,3,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Peterson, Ben",10070106,Right,STJ_HAW,Undefined,2,Bottom,2,2,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.25838,-2.697529,3.111254,2430.365086,131.717391,10:30,5.38183,-1.12766,5.8675,-17.6541,16.59958,-17.17324,1.39935,0.33414,82.06739,-6.067775,0.03412,0.421235,,,,,,,,,,,,9.82674,9.75008,0.88568,50,5.15295,-6.42877,-132.06218,-6.76199,17.04585,32.78554,-15.26112,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,eca42130-9707-11f0-bee7-7ff1e5e786b6,89.48069,,,9.19098,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:27:53.15,2025-09-21T12:27:53.1589632-04:00,2025-09-21T16:27:53.1589632Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,b95abf2c-0c4d-404e-9cab-8d7e68486905,54.62991,-133.20663,16.39277,5.37969,-6.22926,-7.63056,1.12047,-7.0238,8.52293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,128.170318,4.822679,2421.760767,0.99646,10:15,-0.087247,0.778569,-0.621465,62.024468,28.869418,-20.365763,0.302435,179.497427,-0.953133,0.479037,0.953133,-0.008361,-0.302435,17.604543,17.603908,0.008361,0.008361,-179.497427,-17.603908,0.302435,-0.479037,-17.604543,-0.302435,-0.008361,0.953133,-0.953133
61,2025-09-21,12:28:06.90,2,4,"Fitzgibbon, Matt",1000430203,Left,STJ_HAW,"Peterson, Ben",10070106,Right,STJ_HAW,Undefined,2,Bottom,2,2,1,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.68089,-1.695231,1.886089,2367.042266,114.287176,9:45,5.48417,-1.01982,5.81769,-23.84612,10.64237,-20.87844,1.91949,-1.00542,82.07147,-6.158286,-1.857988,0.422677,,,,,,,,,,,,11.19831,6.32599,0.87765,50,5.33137,-3.40541,-131.49149,-4.69908,19.35576,31.20189,-21.23984,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,f4c3e710-9707-11f0-bee7-7ff1e5e786b6,89.17553,,,8.60942,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,2025-09-21,16:28:06.90,2025-09-21T12:28:06.9043200-04:00,2025-09-21T16:28:06.9043200Z,,v3,471426,471426,,"Primrose, Blake",827699,Right,STJ_HAW,d1475b3e-0600-45ee-ac6a-c7518077ed88,54.67991,-132.59735,15.60095,5.48458,-3.9463,-10.61992,1.01051,-4.09141,9.67788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,130.809423,-0.068818,2367.040559,0.999999,10:15,0.000331,0.756591,-0.653888,36.340352,22.203434,-40.014245,0.000779,168.335572,-0.979348,11.664424,0.979348,-0.202179,-0.000779,0.045558,0.044617,0.202179,0.202179,-168.335572,-0.044617,0.000779,-11.664424,-0.045558,-0.000779,-0.202179,0.979348,-0.979348
